This file contains several lists relating to film:

DEBUTS.TXT          Debuts of over 600 Stars - From 1930-Present

DIRECT.TXT          200 Directorial Debuts

LOSER.TXT           Films and Performances that LOST out on Oscar
                    night - including 10 films and 10 performances
                    NOT nominated

OSCAR.DEB           OSCAR WINNING/Nominated Debuts

SILENT.TXT          Stars who got their start in the Silents:
                    1900-1929 Debuts

UNUSUAL.TXT         Early Roles/Unusual Roles for Stars

     I believe that each of these lists is accurate, as far as I
could confirm. I have double checked the source for most of the
actors on each list.

     I am sure that anyone reading this will say "How could you
have missed [Actor/Actress]?". While I believe 650 is a good start,
I'm still working on making the list more complete, and will
probably be releasing a supplementary/updated list sometime in the
near future.

     If you think of someone whose debuts I should absolutely,
positively have on the next list, leave me a message.

JOHN HECKENLIVELY

                           FILM DEBUTS
                        Actors/Actresses

ACTOR                    TITLE                              YEAR
Lifefore (1985)               Psychiatrist/voice of reason

Paul Thomas [Porn Star]
.. Jesus Christ Superstar (1973)   Chorus

Francois Truffaut                  Close Encounters  (1977)
.. French [obviously] Anthropologist

Lana Turner                   Adventures of Marco Polo (1938)
.. Handmaiden

Lech Walesa [President of Poland]
.. Man of Iron (1980)              Himself [Pre-Nobel Prize]

John Wayne                    The Greatest Story Ever Told (1965)
.. Centurion at the Crucifixion

Debra Winger                  Made in Heaven (1987)
.. Guardian Angel

Woods, James                  Foster and Laurie (TVM/1975)
.. Drug Addict

Yeager, Chuck                 The Right Stuff (1983)
.. Bartender

                    BLINK AND YOU'LL MISS IT

Willem Dafoe             The Hunger                    1983
Farrah Fawcett           Three's A Crowd (TVM)         1969
Ann Magnuson             The Hunger                    1983
Joe Piscopo              King Kong                     1976
Richard Pryor            The Green Berets              1967
Vanna White              Looker                        1981

                    FILMS WITH SEVERAL STARS
                                
The Blues Brothers (1980)...
Frank Oz..                    Prison property clerk
Steve Spielberg..             Cook County assesor
Twiggy..                      Gas Station

Annie Hall (1977)...
D'Angelo, Beverly..           On TV Monitor
Jeff Goldblum..               LA Party
Shelley Hack..                On The Street
Sigourney Weaver..            Woody's Date

The Graduate (1967)...
Richard Dreyfuss ..           Berkeley Rooming House
Mike Farrell ..               Hotel lobby

Head (1968)              Debut film for The Monkees
More importantly, Bob Rafelson (Dir) and Jack Nicholson 
work together Pre-Five Easy Pieces

Inavsion of The Body Snatchers...
1956 Version...          Sam Peckinpah - Meter Reader
1978 version...          Kevin McCarthy,Don Siegel
                         Robert Duvall

The Lords of Flatbush (1974)
Sylvester Stallone [Pre-Rocky] 
Henry Winkler [Pre-Fonzie]
                         
The T.A.M.I. Show (1964)...
Toni Basil, Teri Garr         Go-Go Dancers

Terminal Island (1973)
Tom Selleck and Roger Mosley  - Later of Magnum, PI

Trouble in High Timber Country (1980)
James B Sikking and Belinda J Montgomery -
Later of Doogie Howser MD
Also Martin Kove [Pre-Cagney and Lacey]

